timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2026-03-26T04:43:30,11.2,1.3,5.685,12.2,0.7,3.244,11.2,1.3,5.685,10.0,0.6,2.885
2026-03-26T07:45:00,11.4,1.2,6.712,12.2,0.8,3.068,11.4,1.2,6.712,9.8,1.0,2.947
2026-03-27T06:57:30,12.0,0.6,5.401,12.0,0.6,5.401,11.8,1.4,6.144,9.6,0.6,2.805
2026-03-28T08:28:30,12.4,0.8,7.88,-1.0,0.0,0.989,12.4,0.8,7.88,-1.0,0.0,2.18
2026-03-29T08:58:00,12.4,0.9,4.816,10.2,0.7,3.256,12.4,0.9,4.816,-1.0,0.0,0.0
2026-03-30T07:40:00,12.2,1.2,5.345,12.2,1.2,5.345,11.8,1.2,4.112,-1.0,0.0,2.208
2026-03-31T06:36:30,12.2,0.7,4.19,12.2,0.7,4.19,11.6,1.4,4.925,10.2,2.2,5.082
2026-04-01T07:43:30,12.0,0.9,7.454,12.0,0.9,7.454,12.0,0.6,4.637,8.4,0.7,4.113
2026-04-02T05:17:00,12.8,0.8,5.502,12.8,0.8,5.502,12.2,1.1,3.436,9.8,3.2,2.942
2026-04-02T08:30:00,12.8,0.8,7.122,12.8,0.8,7.122,12.0,1.2,3.481,8.6,1.1,3.271
2026-04-03T03:43:30,12.2,0.7,7.687,12.2,0.7,3.945,12.2,0.7,7.687,12.6,0.8,2.964
2026-04-04T08:20:00,12.2,0.9,2.986,12.2,0.9,2.986,13.0,1.6,2.812,10.2,0.5,2.881
2026-04-05T09:02:00,12.4,0.6,6.004,12.4,0.6,6.004,11.4,1.6,3.575,9.0,0.6,5.207
2026-04-06T08:03:30,11.8,0.6,4.145,-1.0,0.0,1.307,11.8,0.6,4.145,9.2,1.1,4.165
2026-04-06T10:29:30,11.8,0.6,3.88,-1.0,0.0,2.29,11.8,0.6,3.88,9.2,1.1,4.165
2026-04-07T07:50:00,12.2,1.5,6.578,11.6,0.7,2.898,12.2,1.5,6.578,16.4,0.4,2.556
2026-04-08T07:43:30,11.8,1.3,5.327,11.8,1.3,5.327,11.4,0.7,5.083,10.6,2.4,3.868
2026-04-09T07:43:00,13.4,1.3,4.673,13.2,0.7,3.853,13.4,1.3,4.673,9.0,0.8,3.479
2026-04-10T04:59:30,9.0,0.7,6.154,9.0,0.7,6.154,8.6,0.6,3.531,9.0,0.5,6.196
2026-04-11T07:52:00,9.4,0.8,4.028,9.4,0.8,4.028,12.2,0.9,4.841,-1.0,0.0,1.944
2026-04-12T06:52:00,12.0,0.9,5.724,12.0,0.9,5.724,12.2,0.8,6.139,8.2,0.6,3.723
2026-04-12T09:52:30,12.2,0.9,9.283,12.2,0.9,9.283,12.0,0.9,7.411,8.2,0.7,3.345
2026-04-13T05:22:00,12.2,0.8,6.017,-1.0,0.0,0.0,12.2,0.8,6.017,27.4,0.5,2.836