timestamp,steps,data source
2026-03-25T20:10:00Z,21,Charge 6
2026-03-26T00:21:00Z,8,Charge 6
2026-03-26T01:22:00Z,8,Charge 6
2026-03-26T02:19:00Z,19,Charge 6
2026-03-26T02:23:00Z,14,Charge 6
2026-03-26T02:24:00Z,3,Charge 6
2026-03-26T02:55:00Z,5,Charge 6
2026-03-26T05:58:00Z,34,Charge 6
2026-03-26T05:59:00Z,11,Charge 6
2026-03-26T06:14:00Z,19,Charge 6
2026-03-26T06:15:00Z,8,Charge 6
2026-03-26T06:16:00Z,19,Charge 6
2026-03-26T06:17:00Z,22,Charge 6
2026-03-26T06:18:00Z,88,Charge 6
2026-03-26T06:19:00Z,100,Charge 6
2026-03-26T06:20:00Z,100,Charge 6
2026-03-26T06:21:00Z,106,Charge 6
2026-03-26T06:22:00Z,110,Charge 6
2026-03-26T06:23:00Z,97,Charge 6
2026-03-26T06:24:00Z,106,Charge 6
2026-03-26T06:25:00Z,110,Charge 6
2026-03-26T06:26:00Z,111,Charge 6
2026-03-26T06:27:00Z,110,Charge 6
2026-03-26T06:28:00Z,111,Charge 6
2026-03-26T06:29:00Z,105,Charge 6
2026-03-26T06:30:00Z,102,Charge 6
2026-03-26T06:31:00Z,95,Charge 6
2026-03-26T06:32:00Z,108,Charge 6
2026-03-26T06:33:00Z,109,Charge 6
2026-03-26T06:34:00Z,100,Charge 6
2026-03-26T06:35:00Z,103,Charge 6
2026-03-26T06:36:00Z,94,Charge 6
2026-03-26T06:37:00Z,102,Charge 6
2026-03-26T06:38:00Z,96,Charge 6
2026-03-26T06:39:00Z,110,Charge 6
2026-03-26T06:40:00Z,92,Charge 6
2026-03-26T06:41:00Z,96,Charge 6
2026-03-26T06:42:00Z,100,Charge 6
2026-03-26T06:43:00Z,99,Charge 6
2026-03-26T06:44:00Z,108,Charge 6
2026-03-26T06:45:00Z,97,Charge 6
2026-03-26T06:46:00Z,34,Charge 6
2026-03-26T06:47:00Z,15,Charge 6
2026-03-26T06:48:00Z,28,Charge 6
2026-03-26T06:50:00Z,8,Charge 6
2026-03-26T07:01:00Z,9,Charge 6
2026-03-26T07:03:00Z,4,Charge 6
2026-03-26T07:07:00Z,7,Charge 6
2026-03-26T07:10:00Z,22,Charge 6
2026-03-26T07:17:00Z,23,Charge 6
2026-03-26T07:18:00Z,6,Charge 6
2026-03-26T07:19:00Z,9,Charge 6
2026-03-26T07:20:00Z,8,Charge 6
2026-03-26T07:22:00Z,18,Charge 6
2026-03-26T07:23:00Z,21,Charge 6
2026-03-26T07:24:00Z,15,Charge 6
2026-03-26T07:25:00Z,22,Charge 6
2026-03-26T07:29:00Z,7,Charge 6
2026-03-26T07:30:00Z,27,Charge 6
2026-03-26T07:40:00Z,4,Charge 6
2026-03-26T07:41:00Z,47,Charge 6
2026-03-26T07:42:00Z,65,Charge 6
2026-03-26T07:43:00Z,29,Charge 6
2026-03-26T07:44:00Z,28,Charge 6
2026-03-26T07:45:00Z,8,Charge 6
2026-03-26T07:46:00Z,18,Charge 6
2026-03-26T07:47:00Z,7,Charge 6
2026-03-26T07:48:00Z,7,Charge 6
2026-03-26T07:49:00Z,17,Charge 6
2026-03-26T07:50:00Z,37,Charge 6
2026-03-26T07:53:00Z,19,Charge 6
2026-03-26T07:54:00Z,28,Charge 6
2026-03-26T07:56:00Z,34,Charge 6
2026-03-26T08:03:00Z,16,Charge 6
2026-03-26T08:04:00Z,19,Charge 6
2026-03-26T08:28:00Z,16,Charge 6
2026-03-26T08:29:00Z,20,Charge 6
2026-03-26T08:32:00Z,15,Charge 6
2026-03-26T08:43:00Z,6,Charge 6
2026-03-26T08:44:00Z,6,Charge 6
2026-03-26T08:53:00Z,24,Charge 6
2026-03-26T08:54:00Z,4,Charge 6
2026-03-26T08:55:00Z,12,Charge 6
2026-03-26T08:57:00Z,4,Charge 6
2026-03-26T08:58:00Z,10,Charge 6
2026-03-26T09:00:00Z,29,Charge 6
2026-03-26T09:01:00Z,7,Charge 6
2026-03-26T09:03:00Z,7,Charge 6
2026-03-26T09:09:00Z,4,Charge 6
2026-03-26T09:11:00Z,49,Charge 6
2026-03-26T09:13:00Z,42,Charge 6
2026-03-26T09:19:00Z,31,Charge 6
2026-03-26T09:20:00Z,72,Charge 6
2026-03-26T09:21:00Z,10,Charge 6
2026-03-26T09:23:00Z,39,Charge 6
2026-03-26T09:24:00Z,66,Charge 6
2026-03-26T09:25:00Z,14,Charge 6
2026-03-26T09:26:00Z,7,Charge 6
2026-03-26T09:30:00Z,44,Charge 6
2026-03-26T09:31:00Z,8,Charge 6
2026-03-26T09:32:00Z,12,Charge 6
2026-03-26T09:37:00Z,6,Charge 6
2026-03-26T09:43:00Z,10,Charge 6
2026-03-26T09:59:00Z,10,Charge 6
2026-03-26T10:00:00Z,18,Charge 6
2026-03-26T10:01:00Z,4,Charge 6
2026-03-26T10:03:00Z,24,Charge 6
2026-03-26T10:18:00Z,10,Charge 6
2026-03-26T10:19:00Z,15,Charge 6
2026-03-26T10:21:00Z,11,Charge 6
2026-03-26T10:22:00Z,43,Charge 6
2026-03-26T10:23:00Z,11,Charge 6
2026-03-26T10:25:00Z,56,Charge 6
2026-03-26T10:26:00Z,92,Charge 6
2026-03-26T10:27:00Z,2,Charge 6
2026-03-26T10:46:00Z,11,Charge 6
2026-03-26T10:47:00Z,14,Charge 6
2026-03-26T10:48:00Z,15,Charge 6
2026-03-26T11:03:00Z,72,Charge 6
2026-03-26T11:04:00Z,81,Charge 6
2026-03-26T11:05:00Z,53,Charge 6
2026-03-26T11:06:00Z,28,Charge 6
2026-03-26T11:07:00Z,15,Charge 6
2026-03-26T11:12:00Z,8,Charge 6
2026-03-26T11:17:00Z,10,Charge 6
2026-03-26T11:18:00Z,30,Charge 6
2026-03-26T11:23:00Z,9,Charge 6
2026-03-26T11:48:00Z,25,Charge 6
2026-03-26T11:49:00Z,27,Charge 6
2026-03-26T11:54:00Z,18,Charge 6
2026-03-26T12:02:00Z,25,Charge 6
2026-03-26T12:03:00Z,37,Charge 6
2026-03-26T12:04:00Z,25,Charge 6
2026-03-26T12:05:00Z,8,Charge 6
2026-03-26T12:17:00Z,17,Charge 6
2026-03-26T12:23:00Z,13,Charge 6
2026-03-26T12:24:00Z,4,Charge 6
2026-03-26T12:25:00Z,19,Charge 6
2026-03-26T12:28:00Z,10,Charge 6
2026-03-26T12:30:00Z,4,Charge 6
2026-03-26T12:32:00Z,17,Charge 6
2026-03-26T12:35:00Z,24,Charge 6
2026-03-26T12:36:00Z,16,Charge 6
2026-03-26T12:37:00Z,10,Charge 6
2026-03-26T12:38:00Z,20,Charge 6
2026-03-26T12:39:00Z,3,Charge 6
2026-03-26T12:40:00Z,14,Charge 6
2026-03-26T13:03:00Z,4,Charge 6
2026-03-26T13:04:00Z,26,Charge 6
2026-03-26T13:16:00Z,7,Charge 6
2026-03-26T13:18:00Z,7,Charge 6
2026-03-26T13:19:00Z,9,Charge 6
2026-03-26T13:28:00Z,7,Charge 6
2026-03-26T13:33:00Z,9,Charge 6
2026-03-26T14:06:00Z,34,Charge 6
2026-03-26T14:07:00Z,14,Charge 6
2026-03-26T14:16:00Z,9,Charge 6
2026-03-26T14:35:00Z,12,Charge 6
2026-03-26T14:36:00Z,13,Charge 6
2026-03-26T15:05:00Z,7,Charge 6
2026-03-26T15:09:00Z,28,Charge 6
2026-03-26T15:12:00Z,13,Charge 6
2026-03-26T15:14:00Z,12,Charge 6
2026-03-26T15:16:00Z,9,Charge 6
2026-03-26T15:18:00Z,12,Charge 6
2026-03-26T15:20:00Z,17,Charge 6
2026-03-26T15:21:00Z,36,Charge 6
2026-03-26T15:22:00Z,21,Charge 6
2026-03-26T15:24:00Z,11,Charge 6
2026-03-26T15:29:00Z,12,Charge 6
2026-03-26T15:30:00Z,9,Charge 6
2026-03-26T15:33:00Z,12,Charge 6
2026-03-26T15:34:00Z,30,Charge 6
2026-03-26T15:36:00Z,24,Charge 6
2026-03-26T15:38:00Z,20,Charge 6
2026-03-26T15:39:00Z,8,Charge 6
2026-03-26T15:40:00Z,23,Charge 6
2026-03-26T15:41:00Z,7,Charge 6
2026-03-26T15:42:00Z,10,Charge 6
2026-03-26T15:44:00Z,9,Charge 6
2026-03-26T15:46:00Z,29,Charge 6
2026-03-26T15:47:00Z,29,Charge 6
2026-03-26T15:48:00Z,48,Charge 6
2026-03-26T15:49:00Z,3,Charge 6
2026-03-26T15:50:00Z,6,Charge 6
2026-03-26T15:51:00Z,2,Charge 6
2026-03-26T15:56:00Z,21,Charge 6
2026-03-26T15:57:00Z,20,Charge 6
2026-03-26T15:58:00Z,23,Charge 6
2026-03-26T16:02:00Z,10,Charge 6
2026-03-26T16:03:00Z,99,Charge 6
2026-03-26T16:04:00Z,8,Charge 6
2026-03-26T16:06:00Z,11,Charge 6
2026-03-26T16:07:00Z,36,Charge 6
2026-03-26T16:08:00Z,19,Charge 6
2026-03-26T16:10:00Z,7,Charge 6
2026-03-26T16:12:00Z,11,Charge 6
2026-03-26T16:13:00Z,26,Charge 6
2026-03-26T16:14:00Z,28,Charge 6
2026-03-26T16:15:00Z,39,Charge 6
2026-03-26T16:16:00Z,17,Charge 6
2026-03-26T16:17:00Z,24,Charge 6
2026-03-26T16:20:00Z,9,Charge 6
2026-03-26T16:21:00Z,29,Charge 6
2026-03-26T16:22:00Z,29,Charge 6
2026-03-26T16:23:00Z,11,Charge 6
2026-03-26T16:26:00Z,8,Charge 6
2026-03-26T16:29:00Z,15,Charge 6
2026-03-26T16:30:00Z,33,Charge 6
2026-03-26T16:31:00Z,25,Charge 6
2026-03-26T16:32:00Z,86,Charge 6
2026-03-26T16:33:00Z,51,Charge 6
2026-03-26T16:34:00Z,45,Charge 6
2026-03-26T16:36:00Z,7,Charge 6
2026-03-26T16:38:00Z,50,Charge 6
2026-03-26T16:39:00Z,54,Charge 6
2026-03-26T16:40:00Z,16,Charge 6
2026-03-26T16:41:00Z,40,Charge 6
2026-03-26T16:44:00Z,15,Charge 6
2026-03-26T16:45:00Z,12,Charge 6
2026-03-26T16:53:00Z,5,Charge 6
2026-03-26T17:01:00Z,17,Charge 6
2026-03-26T17:03:00Z,13,Charge 6
2026-03-26T17:04:00Z,15,Charge 6
2026-03-26T17:08:00Z,64,Charge 6
2026-03-26T17:09:00Z,20,Charge 6
2026-03-26T17:18:00Z,8,Charge 6
2026-03-26T17:19:00Z,22,Charge 6
2026-03-26T17:20:00Z,18,Charge 6
2026-03-26T17:21:00Z,28,Charge 6
2026-03-26T17:22:00Z,8,Charge 6
2026-03-26T17:23:00Z,26,Charge 6
2026-03-26T17:25:00Z,32,Charge 6
2026-03-26T17:26:00Z,26,Charge 6
2026-03-26T17:30:00Z,10,Charge 6
2026-03-26T17:31:00Z,37,Charge 6
2026-03-26T17:32:00Z,29,Charge 6
2026-03-26T17:33:00Z,3,Charge 6
2026-03-26T17:35:00Z,9,Charge 6
2026-03-26T17:36:00Z,8,Charge 6
2026-03-26T17:37:00Z,9,Charge 6
2026-03-26T17:38:00Z,45,Charge 6
2026-03-26T17:39:00Z,112,Charge 6
2026-03-26T17:40:00Z,104,Charge 6
2026-03-26T17:41:00Z,31,Charge 6
2026-03-26T17:55:00Z,4,Charge 6
2026-03-26T18:35:00Z,51,Charge 6
2026-03-26T18:36:00Z,110,Charge 6
2026-03-26T18:37:00Z,111,Charge 6
2026-03-26T18:38:00Z,70,Charge 6
2026-03-26T18:39:00Z,20,Charge 6
2026-03-26T18:49:00Z,12,Charge 6
2026-03-26T18:54:00Z,14,Charge 6
2026-03-26T18:55:00Z,23,Charge 6
2026-03-26T18:56:00Z,38,Charge 6
2026-03-26T19:19:00Z,9,Charge 6
2026-03-26T19:23:00Z,7,Charge 6
2026-03-26T19:27:00Z,28,Charge 6
2026-03-26T19:36:00Z,20,Charge 6
2026-03-26T19:39:00Z,9,Charge 6
2026-03-26T19:40:00Z,14,Charge 6
2026-03-26T19:42:00Z,9,Charge 6
2026-03-26T22:22:00Z,8,Charge 6
2026-03-27T01:32:00Z,6,Charge 6
2026-03-27T04:58:00Z,8,Charge 6
2026-03-27T05:04:00Z,9,Charge 6
2026-03-27T05:05:00Z,39,Charge 6
2026-03-27T05:06:00Z,36,Charge 6
2026-03-27T05:07:00Z,16,Charge 6
2026-03-27T05:28:00Z,8,Charge 6
2026-03-27T05:29:00Z,7,Charge 6
2026-03-27T05:30:00Z,15,Charge 6
2026-03-27T05:32:00Z,57,Charge 6
2026-03-27T05:33:00Z,104,Charge 6
2026-03-27T05:34:00Z,106,Charge 6
2026-03-27T05:35:00Z,113,Charge 6
2026-03-27T05:36:00Z,111,Charge 6
2026-03-27T05:37:00Z,110,Charge 6
2026-03-27T05:38:00Z,111,Charge 6
2026-03-27T05:39:00Z,108,Charge 6
2026-03-27T05:40:00Z,108,Charge 6
2026-03-27T05:41:00Z,106,Charge 6
2026-03-27T05:42:00Z,98,Charge 6
2026-03-27T05:43:00Z,100,Charge 6
2026-03-27T05:44:00Z,104,Charge 6
2026-03-27T05:45:00Z,80,Charge 6
2026-03-27T05:46:00Z,115,Charge 6
2026-03-27T05:47:00Z,107,Charge 6
2026-03-27T05:48:00Z,109,Charge 6
2026-03-27T05:49:00Z,105,Charge 6
2026-03-27T05:50:00Z,110,Charge 6
2026-03-27T05:51:00Z,106,Charge 6
2026-03-27T05:52:00Z,101,Charge 6
2026-03-27T05:53:00Z,112,Charge 6
2026-03-27T05:54:00Z,105,Charge 6
2026-03-27T05:55:00Z,102,Charge 6
2026-03-27T05:56:00Z,100,Charge 6
2026-03-27T05:57:00Z,111,Charge 6
2026-03-27T05:58:00Z,107,Charge 6
2026-03-27T05:59:00Z,105,Charge 6
2026-03-27T06:00:00Z,104,Charge 6
2026-03-27T06:01:00Z,104,Charge 6
2026-03-27T06:02:00Z,13,Charge 6
2026-03-27T06:05:00Z,10,Charge 6
2026-03-27T06:09:00Z,10,Charge 6
2026-03-27T06:13:00Z,23,Charge 6
2026-03-27T06:14:00Z,8,Charge 6
2026-03-27T06:16:00Z,15,Charge 6
2026-03-27T06:19:00Z,5,Charge 6
2026-03-27T06:33:00Z,6,Charge 6
2026-03-27T06:34:00Z,7,Charge 6
2026-03-27T06:35:00Z,7,Charge 6
2026-03-27T06:37:00Z,10,Charge 6
2026-03-27T06:39:00Z,13,Charge 6
2026-03-27T06:54:00Z,19,Charge 6
2026-03-27T06:55:00Z,21,Charge 6
2026-03-27T07:01:00Z,6,Charge 6
2026-03-27T07:02:00Z,26,Charge 6
2026-03-27T07:17:00Z,13,Charge 6
2026-03-27T07:18:00Z,4,Charge 6
2026-03-27T07:19:00Z,40,Charge 6
2026-03-27T07:20:00Z,22,Charge 6
2026-03-27T07:21:00Z,31,Charge 6
2026-03-27T08:02:00Z,8,Charge 6
2026-03-27T08:03:00Z,14,Charge 6
2026-03-27T08:05:00Z,7,Charge 6
2026-03-27T08:06:00Z,6,Charge 6
2026-03-27T08:07:00Z,22,Charge 6
2026-03-27T08:10:00Z,6,Charge 6
2026-03-27T08:13:00Z,10,Charge 6
2026-03-27T08:14:00Z,11,Charge 6
2026-03-27T08:17:00Z,13,Charge 6
2026-03-27T08:18:00Z,23,Charge 6
2026-03-27T08:19:00Z,7,Charge 6
2026-03-27T08:21:00Z,6,Charge 6
2026-03-27T08:22:00Z,6,Charge 6
2026-03-27T08:24:00Z,9,Charge 6
2026-03-27T09:00:00Z,19,Charge 6
2026-03-27T09:01:00Z,10,Charge 6
2026-03-27T09:02:00Z,26,Charge 6
2026-03-27T09:03:00Z,68,Charge 6
2026-03-27T09:04:00Z,49,Charge 6
2026-03-27T09:05:00Z,93,Charge 6
2026-03-27T09:06:00Z,78,Charge 6
2026-03-27T09:07:00Z,42,Charge 6
2026-03-27T09:08:00Z,24,Charge 6
2026-03-27T09:09:00Z,74,Charge 6
2026-03-27T09:10:00Z,56,Charge 6
2026-03-27T09:11:00Z,61,Charge 6
2026-03-27T09:12:00Z,119,Charge 6
2026-03-27T09:13:00Z,51,Charge 6
2026-03-27T09:14:00Z,51,Charge 6
2026-03-27T09:15:00Z,55,Charge 6
2026-03-27T09:16:00Z,25,Charge 6
2026-03-27T09:17:00Z,53,Charge 6
2026-03-27T09:18:00Z,124,Charge 6
2026-03-27T09:19:00Z,44,Charge 6
2026-03-27T09:20:00Z,78,Charge 6
2026-03-27T09:21:00Z,77,Charge 6
2026-03-27T09:22:00Z,20,Charge 6
2026-03-27T09:23:00Z,6,Charge 6
2026-03-27T09:36:00Z,25,Charge 6
2026-03-27T09:58:00Z,13,Charge 6
2026-03-27T10:14:00Z,8,Charge 6
2026-03-27T10:16:00Z,8,Charge 6
2026-03-27T10:17:00Z,10,Charge 6
2026-03-27T10:24:00Z,14,Charge 6
2026-03-27T10:25:00Z,10,Charge 6
2026-03-27T10:26:00Z,6,Charge 6
2026-03-27T10:33:00Z,4,Charge 6
2026-03-27T10:36:00Z,6,Charge 6
2026-03-27T10:37:00Z,28,Charge 6
2026-03-27T10:53:00Z,25,Charge 6
2026-03-27T10:54:00Z,6,Charge 6
2026-03-27T10:56:00Z,24,Charge 6
2026-03-27T11:03:00Z,7,Charge 6
2026-03-27T11:58:00Z,37,Charge 6
2026-03-27T11:59:00Z,71,Charge 6
2026-03-27T12:00:00Z,81,Charge 6
2026-03-27T12:01:00Z,77,Charge 6
2026-03-27T12:02:00Z,82,Charge 6
2026-03-27T12:03:00Z,93,Charge 6
2026-03-27T12:04:00Z,100,Charge 6
2026-03-27T12:05:00Z,57,Charge 6
2026-03-27T12:06:00Z,31,Charge 6
2026-03-27T12:07:00Z,105,Charge 6
2026-03-27T12:08:00Z,107,Charge 6
2026-03-27T12:09:00Z,105,Charge 6
2026-03-27T12:10:00Z,60,Charge 6
2026-03-27T12:16:00Z,6,Charge 6
2026-03-27T12:31:00Z,19,Charge 6
2026-03-27T12:32:00Z,8,Charge 6
2026-03-27T12:33:00Z,14,Charge 6
2026-03-27T12:34:00Z,13,Charge 6
2026-03-27T12:35:00Z,24,Charge 6
2026-03-27T12:36:00Z,38,Charge 6
2026-03-27T12:37:00Z,4,Charge 6
2026-03-27T12:38:00Z,5,Charge 6
2026-03-27T12:42:00Z,6,Charge 6
2026-03-27T12:46:00Z,7,Charge 6
2026-03-27T12:48:00Z,21,Charge 6
2026-03-27T12:49:00Z,51,Charge 6
2026-03-27T12:50:00Z,20,Charge 6
2026-03-27T12:51:00Z,26,Charge 6
2026-03-27T13:01:00Z,28,Charge 6
2026-03-27T13:02:00Z,9,Charge 6
2026-03-27T13:03:00Z,30,Charge 6
2026-03-27T13:04:00Z,16,Charge 6
2026-03-27T13:05:00Z,5,Charge 6
2026-03-27T13:07:00Z,40,Charge 6
2026-03-27T13:08:00Z,47,Charge 6
2026-03-27T13:20:00Z,7,Charge 6
2026-03-27T13:21:00Z,14,Charge 6
2026-03-27T13:22:00Z,16,Charge 6
2026-03-27T13:23:00Z,53,Charge 6
2026-03-27T13:24:00Z,28,Charge 6
2026-03-27T13:26:00Z,18,Charge 6
2026-03-27T13:27:00Z,11,Charge 6
2026-03-27T13:29:00Z,9,Charge 6
2026-03-27T13:30:00Z,16,Charge 6
2026-03-27T13:31:00Z,13,Charge 6
2026-03-27T13:32:00Z,4,Charge 6
2026-03-27T13:33:00Z,36,Charge 6
2026-03-27T13:34:00Z,87,Charge 6
2026-03-27T13:35:00Z,101,Charge 6
2026-03-27T13:36:00Z,105,Charge 6
2026-03-27T13:37:00Z,89,Charge 6
2026-03-27T13:38:00Z,84,Charge 6
2026-03-27T13:39:00Z,87,Charge 6
2026-03-27T13:40:00Z,84,Charge 6
2026-03-27T13:41:00Z,91,Charge 6
2026-03-27T13:42:00Z,90,Charge 6
2026-03-27T13:43:00Z,87,Charge 6
2026-03-27T13:44:00Z,65,Charge 6
2026-03-27T13:45:00Z,85,Charge 6
2026-03-27T13:46:00Z,99,Charge 6
2026-03-27T13:47:00Z,55,Charge 6
2026-03-27T13:48:00Z,25,Charge 6
2026-03-27T13:49:00Z,71,Charge 6
2026-03-27T13:50:00Z,51,Charge 6
2026-03-27T13:51:00Z,53,Charge 6
2026-03-27T13:52:00Z,66,Charge 6
2026-03-27T13:53:00Z,65,Charge 6
2026-03-27T13:54:00Z,50,Charge 6
2026-03-27T13:55:00Z,49,Charge 6
2026-03-27T13:56:00Z,31,Charge 6
2026-03-27T13:57:00Z,46,Charge 6
2026-03-27T13:58:00Z,28,Charge 6
2026-03-27T13:59:00Z,22,Charge 6
2026-03-27T14:00:00Z,22,Charge 6
2026-03-27T14:01:00Z,44,Charge 6
2026-03-27T14:02:00Z,8,Charge 6
2026-03-27T14:03:00Z,26,Charge 6
2026-03-27T14:04:00Z,54,Charge 6
2026-03-27T14:05:00Z,74,Charge 6
2026-03-27T14:06:00Z,33,Charge 6
2026-03-27T14:07:00Z,72,Charge 6
2026-03-27T14:08:00Z,75,Charge 6
2026-03-27T14:09:00Z,91,Charge 6
2026-03-27T14:10:00Z,91,Charge 6
2026-03-27T14:11:00Z,65,Charge 6
2026-03-27T14:12:00Z,80,Charge 6
2026-03-27T14:13:00Z,65,Charge 6
2026-03-27T14:14:00Z,70,Charge 6
2026-03-27T14:15:00Z,69,Charge 6
2026-03-27T14:16:00Z,56,Charge 6
2026-03-27T14:17:00Z,49,Charge 6
2026-03-27T14:18:00Z,59,Charge 6
2026-03-27T14:19:00Z,10,Charge 6
2026-03-27T14:20:00Z,26,Charge 6
2026-03-27T14:21:00Z,16,Charge 6
2026-03-27T14:22:00Z,12,Charge 6
2026-03-27T14:33:00Z,19,Charge 6
2026-03-27T14:34:00Z,26,Charge 6
2026-03-27T14:35:00Z,26,Charge 6
2026-03-27T14:37:00Z,28,Charge 6
2026-03-27T14:38:00Z,57,Charge 6
2026-03-27T14:39:00Z,8,Charge 6
2026-03-27T14:40:00Z,13,Charge 6
2026-03-27T14:41:00Z,46,Charge 6
2026-03-27T14:42:00Z,35,Charge 6
2026-03-27T14:43:00Z,24,Charge 6
2026-03-27T14:44:00Z,27,Charge 6
2026-03-27T14:45:00Z,46,Charge 6
2026-03-27T14:47:00Z,28,Charge 6
2026-03-27T14:49:00Z,7,Charge 6
2026-03-27T14:50:00Z,22,Charge 6
2026-03-27T14:51:00Z,22,Charge 6
2026-03-27T14:52:00Z,15,Charge 6
2026-03-27T15:07:00Z,6,Charge 6
2026-03-27T15:16:00Z,8,Charge 6
2026-03-27T15:17:00Z,12,Charge 6
2026-03-27T15:20:00Z,14,Charge 6
2026-03-27T15:22:00Z,28,Charge 6
2026-03-27T15:24:00Z,6,Charge 6
2026-03-27T15:27:00Z,24,Charge 6
2026-03-27T15:28:00Z,8,Charge 6
2026-03-27T15:31:00Z,8,Charge 6
2026-03-27T15:32:00Z,5,Charge 6
2026-03-27T15:33:00Z,33,Charge 6
2026-03-27T15:34:00Z,20,Charge 6
2026-03-27T15:35:00Z,9,Charge 6
2026-03-27T15:41:00Z,6,Charge 6
2026-03-27T15:42:00Z,1,Charge 6
